Block,BlackFloor,1,
Block,BlackFloor,2,
Block,BlackFloor,3,
Block,BlackFloor,4,
Block,BlackFloor,5,
Block,BlackFloor,6,
Block,BlackFloor,7,
Block,BlackFloor,8,
Block,BlackFloor,9,
Block,BlackFloor,10,
Block,BlackFloor,11,
Block,BlackFloor,12,
Block,BlackFloor,13,
Block,BlackFloor,14,
Block,BlackFloor,15,
Block,BlackFloor,16,
Block,BlackFloor,17,
Block,BlackFloor,18,
Block,BlackFloor,19,
Block,BlackFloor,20,
Block,BlackFloor,21,
Block,BlackFloor,22,
Block,BlackFloor,23,
Block,BlackFloor,24,
Block,BlackFloor,25,
Block,BlackFloor,26,
Block,BlackFloor,27,
Block,BlackFloor,28,
Block,BlackFloor,29,
Block,BlackFloor,30,
Block,BlackFloor,31,
Block,BlackFloor,32,
Block,BlackFloor,33,
Block,BlackFloor,34,
Block,BlackFloor,35,
Block,BlackFloor,36,
Block,BlackFloor,37,
Block,BlackFloor,38,
Block,BlackFloor,39,
Block,BlackFloor,40,
Block,BlackFloor,41,
Block,BlackFloor,42,
Block,BlackFloor,43,
Block,BlackFloor,44,
Block,BlackFloor,45,
Block,BlackFloor,46,
Block,BlackFloor,47,
Block,BlackFloor,48,
Block,BlackFloor,49,
Block,BlackFloor,50,
Block,BlackFloor,51,
Block,BlackFloor,52,
Block,BlackFloor,53,
Block,BlackFloor,54,
Block,BlackFloor,55,
Block,BlackFloor,56,
Block,BlackFloor,57,
Block,BlackFloor,58,
Block,BlackFloor,59,
Block,BlackFloor,60,
Block,BlackFloor,61,
Block,BlackFloor,62,
Block,BlackFloor,63,
Block,BlackFloor,64,
Block,BlackFloor,65,
Block,BlackFloor,66,
Block,BlackFloor,67,
Block,BlackFloor,68,
Block,BlackFloor,69,
Block,BlackFloor,70,
Block,BlackFloor,71,
Block,BlackFloor,72,
Block,BlackFloor,73,
Block,BlackFloor,74,
Block,BlackFloor,75,
Block,BlackFloor,76,
Block,BlackFloor,77,
Block,BlackFloor,78,
Block,BlackFloor,79,
Block,BlackFloor,80,
Block,BlackFloor,81,
Block,BlackFloor,82,
Block,BlackFloor,83,
Block,BlackFloor,84,
Block,FireBlock,34,
Block,FireBlock,27,
Block,OldMan,30
Door,North,4,
Door,South,4,
Door,East,0,
Door,West,4,
