Block,DiamondTile,14,,
Block,DiamondTile,16,,
Block,DiamondTile,18,,
Block,DiamondTile,19,,
Block,DiamondTile,21,,
Block,DiamondTile,23,,
Block,DiamondTile,38,,
Block,DiamondTile,40,,
Block,DiamondTile,42,,
Block,DiamondTile,43,,
Block,DiamondTile,45,,
Block,DiamondTile,47,,
Block,DiamondTile,62,,
Block,DiamondTile,64,,
Block,DiamondTile,66,,
Block,DiamondTile,67,,
Block,DiamondTile,69,,
Block,DiamondTile,71,,
Item,Key,512,400,TRUE
Door,North,1,,
Door,South,4,,
Door,East,4,,
Door,West,0,,
Enemy,Hand,120,132,
Enemy,Hand,342,243,
Enemy,Hand,534,312,
Enemy,Hand,120,321,
Enemy,Hand,321,231,
Enemy,Hand,456,187,
Enemy,Hand,345,276,
Enemy,Hand,608,157,
