Block,BlueTile,1,,
Block,BlueTile,2,,
Block,BlueTile,3,,
Block,BlueTile,4,,
Block,BlueTile,5,,
Block,BlueTile,8,,
Block,BlueTile,9,,
Block,BlueTile,10,,
Block,BlueTile,11,,
Block,BlueTile,12,,
Block,BlueTile,13,,
Block,BlueTile,17,,
Block,BlueTile,22,,
Block,BlueTile,24,,
Block,BlueTile,25,,
Block,BlueTile,27,,
Block,BlueTile,29,,
Block,BlueTile,31,,
Block,BlueTile,32,,
Block,BlueTile,34,,
Block,BlueTile,36,,
Block,BlueTile,39,,
Block,BlueTile,41,,
Block,BlueTile,44,,
Block,BlueTile,46,,
Block,BlueTile,49,,
Block,BlueTile,51,,
Block,BlueTile,53,,
Block,BlueTile,54,,
Block,BlueTile,56,,
Block,BlueTile,58,,
Block,BlueTile,60,,
Block,BlueTile,61,,
Block,BlueTile,63,,
Block,BlueTile,68,,
Block,BlueTile,72,,
Block,BlueTile,73,,
Block,BlueTile,74,,
Block,BlueTile,75,,
Block,BlueTile,76,,
Block,BlueTile,77,,
Block,BlueTile,80,,
Block,BlueTile,81,,
Block,BlueTile,82,,
Block,BlueTile,83,,
Block,BlueTile,84,,
Item,Key,0,0,FALSE
Item,Heart,0,0,FALSE
Door,North,1,,
Door,South,0,,
Door,East,4,,
Door,West,4,,
Enemy,Stalfos,290,143,
Enemy,Stalfos,130,257,
Enemy,Stalfos,620,312,
