
Block,UpChunk,14
Block,UpChunk,17
Block,UpChunk,38
Block,UpChunk,41
Block,UpChunk,62
Block,UpChunk,65
Block,SideChunk,20
Block,SideChunk,23
Block,SideChunk,44
Block,SideChunk,47
Block,SideChunk,68
Block,SideChunk,71
Block,DotTile,54
Block,DotTile,55
Block,DotTile,64
Block,DotTile,66
Block,DotTile,67
Block,DotTile,69
Block,DotTile,76
Block,DotTile,77
Block,DotTile,78
Block,DotTile,79
Block,DotTile,80
Block,DotTile,81
Item,Heart,150,100,TRUE
Item,Heart,250,100,TRUE
Item,Rupee,350,100,TRUE
Item,Map,600,100,TRUE
Item,Compass,450,200,TRUE
Door,North,1
Door,South,0
Door,East,0
Door,West,0
Enemy,Goriya,285,138,
